Algoritmo,Imagen,Tiempo
CUDA, image_100_9_7.png,2350
CUDA V2, image_100_9_7.png,1834
CUDA CPU V2, image_100_9_7.png,1392
CUDA CPU,image_100_9_8.png,2211
CPU,image_100_9_8.png,382
CUDA, image_100_9_8.png,2440
CUDA V2, image_100_9_8.png,1491
CUDA CPU V2, image_100_9_8.png,1244
CUDA CPU,image_100_9_9.png,2659
CPU,image_100_9_9.png,521
CUDA, image_100_9_9.png,2394
CUDA V2, image_100_9_9.png,1489
CUDA CPU V2, image_100_9_9.png,1666
CUDA CPU,image_1500_0_0.png,21513
CPU,image_1500_0_0.png,44155
CUDA, image_1500_0_0.png,22725
CUDA V2, image_1500_0_0.png,12799
CUDA CPU V2, image_1500_0_0.png,11574
CUDA CPU,image_1500_0_1.png,16564
CPU,image_1500_0_1.png,48420
CUDA, image_1500_0_1.png,18869
CUDA V2, image_1500_0_1.png,13087
CUDA CPU V2, image_1500_0_1.png,11314
CUDA CPU,image_1500_0_2.png,15625
CPU,image_1500_0_2.png,44480
CUDA, image_1500_0_2.png,16810
CUDA V2, image_1500_0_2.png,11153
CUDA CPU V2, image_1500_0_2.png,10070
CUDA CPU,image_1500_0_3.png,12987
CPU,image_1500_0_3.png,47225
CUDA, image_1500_0_3.png,11925
CUDA V2, image_1500_0_3.png,8768
CUDA CPU V2, image_1500_0_3.png,10088
CUDA CPU,image_1500_0_4.png,13293
CPU,image_1500_0_4.png,44728
CUDA, image_1500_0_4.png,11954
CUDA V2, image_1500_0_4.png,9068
CUDA CPU V2, image_1500_0_4.png,10385
CUDA CPU,image_1500_0_5.png,13878
CPU,image_1500_0_5.png,47315
CUDA, image_1500_0_5.png,16717
CUDA V2, image_1500_0_5.png,10075
CUDA CPU V2, image_1500_0_5.png,10157
CUDA CPU,image_1500_0_6.png,13343
CPU,image_1500_0_6.png,44848
CUDA, image_1500_0_6.png,12358
CUDA V2, image_1500_0_6.png,8816
CUDA CPU V2, image_1500_0_6.png,9802
CUDA CPU,image_1500_0_7.png,15186
CPU,image_1500_0_7.png,43845
CUDA, image_1500_0_7.png,12818
CUDA V2, image_1500_0_7.png,10731
CUDA CPU V2, image_1500_0_7.png,11035
CUDA CPU,image_1500_0_8.png,15086
CPU,image_1500_0_8.png,44886
CUDA, image_1500_0_8.png,17464
CUDA V2, image_1500_0_8.png,9767
CUDA CPU V2, image_1500_0_8.png,10273
CUDA CPU,image_1500_0_9.png,13450
CPU,image_1500_0_9.png,44540
CUDA, image_1500_0_9.png,12834
CUDA V2, image_1500_0_9.png,9192
CUDA CPU V2, image_1500_0_9.png,10144
CUDA CPU,image_1500_12_0.png,24788
CPU,image_1500_12_0.png,97164
CUDA, image_1500_12_0.png,30322
CUDA V2, image_1500_12_0.png,22891
CUDA CPU V2, image_1500_12_0.png,24513
CUDA CPU,image_1500_12_1.png,31821
CPU,image_1500_12_1.png,98119
CUDA, image_1500_12_1.png,37512
CUDA V2, image_1500_12_1.png,25012
CUDA CPU V2, image_1500_12_1.png,23353
CUDA CPU,image_1500_12_2.png,30019
CPU,image_1500_12_2.png,97961
CUDA, image_1500_12_2.png,38332
CUDA V2, image_1500_12_2.png,24836
CUDA CPU V2, image_1500_12_2.png,23051
CUDA CPU,image_1500_12_3.png,30714
CPU,image_1500_12_3.png,97646
CUDA, image_1500_12_3.png,39260
CUDA V2, image_1500_12_3.png,24628
CUDA CPU V2, image_1500_12_3.png,23069
CUDA CPU,image_1500_12_4.png,31888
CPU,image_1500_12_4.png,98591
CUDA, image_1500_12_4.png,38852
CUDA V2, image_1500_12_4.png,25129
CUDA CPU V2, image_1500_12_4.png,24032
CUDA CPU,image_1500_12_5.png,32109
CPU,image_1500_12_5.png,100312
CUDA, image_1500_12_5.png,39545
CUDA V2, image_1500_12_5.png,24705
CUDA CPU V2, image_1500_12_5.png,23433
CUDA CPU,image_1500_12_6.png,31558
CPU,image_1500_12_6.png,99206
CUDA, image_1500_12_6.png,39410
CUDA V2, image_1500_12_6.png,24487
CUDA CPU V2, image_1500_12_6.png,23530
CUDA CPU,image_1500_12_7.png,31716
CPU,image_1500_12_7.png,100671
CUDA, image_1500_12_7.png,41969
CUDA V2, image_1500_12_7.png,25141
CUDA CPU V2, image_1500_12_7.png,22985
CUDA CPU,image_1500_12_8.png,30704
CPU,image_1500_12_8.png,100305
CUDA, image_1500_12_8.png,38459
CUDA V2, image_1500_12_8.png,24292
CUDA CPU V2, image_1500_12_8.png,23359
CUDA CPU,image_1500_12_9.png,32584
CPU,image_1500_12_9.png,96889
CUDA, image_1500_12_9.png,38701
CUDA V2, image_1500_12_9.png,24497
CUDA CPU V2, image_1500_12_9.png,23807
CUDA CPU,image_1500_15_0.png,34078
CPU,image_1500_15_0.png,110880
CUDA, image_1500_15_0.png,43943
CUDA V2, image_1500_15_0.png,27194
CUDA CPU V2, image_1500_15_0.png,25194
CUDA CPU,image_1500_15_1.png,33174
CPU,image_1500_15_1.png,110291
CUDA, image_1500_15_1.png,44905
CUDA V2, image_1500_15_1.png,25833
CUDA CPU V2, image_1500_15_1.png,24753
CUDA CPU,image_1500_15_2.png,36350
CPU,image_1500_15_2.png,112598
CUDA, image_1500_15_2.png,35495
CUDA V2, image_1500_15_2.png,26012
CUDA CPU V2, image_1500_15_2.png,24357
CUDA CPU,image_1500_15_3.png,30939
CPU,image_1500_15_3.png,112969
CUDA, image_1500_15_3.png,39557
CUDA V2, image_1500_15_3.png,26050
CUDA CPU V2, image_1500_15_3.png,24401
CUDA CPU,image_1500_15_4.png,34835
CPU,image_1500_15_4.png,113363
CUDA, image_1500_15_4.png,43130
CUDA V2, image_1500_15_4.png,25721
CUDA CPU V2, image_1500_15_4.png,25028
CUDA CPU,image_1500_15_5.png,33722
CPU,image_1500_15_5.png,111018
CUDA, image_1500_15_5.png,40311
CUDA V2, image_1500_15_5.png,26899
CUDA CPU V2, image_1500_15_5.png,26423
CUDA CPU,image_1500_15_6.png,33038
CPU,image_1500_15_6.png,110144
CUDA, image_1500_15_6.png,44670
CUDA V2, image_1500_15_6.png,26016
CUDA CPU V2, image_1500_15_6.png,24788
CUDA CPU,image_1500_15_7.png,31537
CPU,image_1500_15_7.png,111515
CUDA, image_1500_15_7.png,40922
CUDA V2, image_1500_15_7.png,26384
CUDA CPU V2, image_1500_15_7.png,24701
CUDA CPU,image_1500_15_8.png,31683
CPU,image_1500_15_8.png,111534
CUDA, image_1500_15_8.png,34685
CUDA V2, image_1500_15_8.png,25498
CUDA CPU V2, image_1500_15_8.png,24084
CUDA CPU,image_1500_15_9.png,30421
CPU,image_1500_15_9.png,114872
CUDA, image_1500_15_9.png,42482
CUDA V2, image_1500_15_9.png,26247
CUDA CPU V2, image_1500_15_9.png,24791
CUDA CPU,image_1500_18_0.png,34412
CPU,image_1500_18_0.png,125559
CUDA, image_1500_18_0.png,45605
CUDA V2, image_1500_18_0.png,27647
CUDA CPU V2, image_1500_18_0.png,27046
CUDA CPU,image_1500_18_1.png,34049
CPU,image_1500_18_1.png,123217
CUDA, image_1500_18_1.png,46303
CUDA V2, image_1500_18_1.png,26783
CUDA CPU V2, image_1500_18_1.png,25824
CUDA CPU,image_1500_18_2.png,33783
CPU,image_1500_18_2.png,125157
CUDA, image_1500_18_2.png,45492
CUDA V2, image_1500_18_2.png,26483
CUDA CPU V2, image_1500_18_2.png,25431
CUDA CPU,image_1500_18_3.png,32664
CPU,image_1500_18_3.png,125233
CUDA, image_1500_18_3.png,43163
CUDA V2, image_1500_18_3.png,26681
CUDA CPU V2, image_1500_18_3.png,26626
CUDA CPU,image_1500_18_4.png,34233
CPU,image_1500_18_4.png,122892
CUDA, image_1500_18_4.png,46362
CUDA V2, image_1500_18_4.png,28977
CUDA CPU V2, image_1500_18_4.png,26241
CUDA CPU,image_1500_18_5.png,33640
CPU,image_1500_18_5.png,126652
CUDA, image_1500_18_5.png,47089
CUDA V2, image_1500_18_5.png,26819
CUDA CPU V2, image_1500_18_5.png,25626
CUDA CPU,image_1500_18_6.png,32535
CPU,image_1500_18_6.png,125713
CUDA, image_1500_18_6.png,44451
CUDA V2, image_1500_18_6.png,27161
CUDA CPU V2, image_1500_18_6.png,25841
CUDA CPU,image_1500_18_7.png,35325
CPU,image_1500_18_7.png,124127
CUDA, image_1500_18_7.png,37637
CUDA V2, image_1500_18_7.png,26993
CUDA CPU V2, image_1500_18_7.png,27506
CUDA CPU,image_1500_18_8.png,34783
CPU,image_1500_18_8.png,123469
CUDA, image_1500_18_8.png,42521
CUDA V2, image_1500_18_8.png,26763
CUDA CPU V2, image_1500_18_8.png,26091
CUDA CPU,image_1500_18_9.png,36618
CPU,image_1500_18_9.png,125594
CUDA, image_1500_18_9.png,45697
CUDA V2, image_1500_18_9.png,28527
CUDA CPU V2, image_1500_18_9.png,25774
CUDA CPU,image_1500_3_0.png,25077
CPU,image_1500_3_0.png,62627
CUDA, image_1500_3_0.png,27044
CUDA V2, image_1500_3_0.png,19572
CUDA CPU V2, image_1500_3_0.png,17071
CUDA CPU,image_1500_3_1.png,22696
CPU,image_1500_3_1.png,58083
CUDA, image_1500_3_1.png,24063
CUDA V2, image_1500_3_1.png,18581
CUDA CPU V2, image_1500_3_1.png,16188
CUDA CPU,image_1500_3_2.png,21064
CPU,image_1500_3_2.png,58839
CUDA, image_1500_3_2.png,22615
CUDA V2, image_1500_3_2.png,15481
CUDA CPU V2, image_1500_3_2.png,15149
CUDA CPU,image_1500_3_3.png,20169
CPU,image_1500_3_3.png,64002
CUDA, image_1500_3_3.png,18510
CUDA V2, image_1500_3_3.png,15216
CUDA CPU V2, image_1500_3_3.png,15325
CUDA CPU,image_1500_3_4.png,19439
CPU,image_1500_3_4.png,58663
CUDA, image_1500_3_4.png,25897
CUDA V2, image_1500_3_4.png,19762
CUDA CPU V2, image_1500_3_4.png,17163
CUDA CPU,image_1500_3_5.png,24360
CPU,image_1500_3_5.png,59267
CUDA, image_1500_3_5.png,24563
CUDA V2, image_1500_3_5.png,18062
CUDA CPU V2, image_1500_3_5.png,16740
CUDA CPU,image_1500_3_6.png,24904
CPU,image_1500_3_6.png,59204
CUDA, image_1500_3_6.png,23461
CUDA V2, image_1500_3_6.png,16867
CUDA CPU V2, image_1500_3_6.png,16307
CUDA CPU,image_1500_3_7.png,20279
CPU,image_1500_3_7.png,59629
CUDA, image_1500_3_7.png,23579
CUDA V2, image_1500_3_7.png,15522
CUDA CPU V2, image_1500_3_7.png,15141
CUDA CPU,image_1500_3_8.png,19377
CPU,image_1500_3_8.png,58165
CUDA, image_1500_3_8.png,18576
CUDA V2, image_1500_3_8.png,14598
CUDA CPU V2, image_1500_3_8.png,15130
CUDA CPU,image_1500_3_9.png,22608
CPU,image_1500_3_9.png,59210
CUDA, image_1500_3_9.png,24295
CUDA V2, image_1500_3_9.png,18033
CUDA CPU V2, image_1500_3_9.png,16620
CUDA CPU,image_1500_6_0.png,26032
CPU,image_1500_6_0.png,74160
CUDA, image_1500_6_0.png,26283
CUDA V2, image_1500_6_0.png,20572
CUDA CPU V2, image_1500_6_0.png,18461
CUDA CPU,image_1500_6_1.png,25846
CPU,image_1500_6_1.png,71402
CUDA, image_1500_6_1.png,26078
CUDA V2, image_1500_6_1.png,20367
CUDA CPU V2, image_1500_6_1.png,18597
CUDA CPU,image_1500_6_2.png,23715
CPU,image_1500_6_2.png,71699
CUDA, image_1500_6_2.png,24483
CUDA V2, image_1500_6_2.png,16162
CUDA CPU V2, image_1500_6_2.png,18425
CUDA CPU,image_1500_6_3.png,21394
CPU,image_1500_6_3.png,71030
CUDA, image_1500_6_3.png,20308
CUDA V2, image_1500_6_3.png,16000
CUDA CPU V2, image_1500_6_3.png,17831
CUDA CPU,image_1500_6_4.png,24637
CPU,image_1500_6_4.png,74440
CUDA, image_1500_6_4.png,29918
CUDA V2, image_1500_6_4.png,20420
CUDA CPU V2, image_1500_6_4.png,19433
CUDA CPU,image_1500_6_5.png,25228
CPU,image_1500_6_5.png,74886
CUDA, image_1500_6_5.png,27410
CUDA V2, image_1500_6_5.png,20148
CUDA CPU V2, image_1500_6_5.png,19019
CUDA CPU,image_1500_6_6.png,23734
CPU,image_1500_6_6.png,71854
CUDA, image_1500_6_6.png,26546
CUDA V2, image_1500_6_6.png,19954
CUDA CPU V2, image_1500_6_6.png,19563
CUDA CPU,image_1500_6_7.png,25097
CPU,image_1500_6_7.png,71046
CUDA, image_1500_6_7.png,25632
CUDA V2, image_1500_6_7.png,19399
CUDA CPU V2, image_1500_6_7.png,20957
CUDA CPU,image_1500_6_8.png,23902
CPU,image_1500_6_8.png,72155
CUDA, image_1500_6_8.png,29361
CUDA V2, image_1500_6_8.png,20264
CUDA CPU V2, image_1500_6_8.png,19261
CUDA CPU,image_1500_6_9.png,26551
CPU,image_1500_6_9.png,71794
CUDA, image_1500_6_9.png,27054
CUDA V2, image_1500_6_9.png,19499
CUDA CPU V2, image_1500_6_9.png,18669
CUDA CPU,image_1500_9_0.png,28640
CPU,image_1500_9_0.png,88126
CUDA, image_1500_9_0.png,27670
CUDA V2, image_1500_9_0.png,20744
CUDA CPU V2, image_1500_9_0.png,20385
CUDA CPU,image_1500_9_1.png,24744
CPU,image_1500_9_1.png,88423
CUDA, image_1500_9_1.png,26858
CUDA V2, image_1500_9_1.png,20807
CUDA CPU V2, image_1500_9_1.png,19993
CUDA CPU,image_1500_9_2.png,25488
CPU,image_1500_9_2.png,87117
CUDA, image_1500_9_2.png,27108
CUDA V2, image_1500_9_2.png,21278
CUDA CPU V2, image_1500_9_2.png,20510
CUDA CPU,image_1500_9_3.png,28449
CPU,image_1500_9_3.png,86451
CUDA, image_1500_9_3.png,31497
CUDA V2, image_1500_9_3.png,22441
CUDA CPU V2, image_1500_9_3.png,21087
CUDA CPU,image_1500_9_4.png,27403
CPU,image_1500_9_4.png,85588
CUDA, image_1500_9_4.png,31083
CUDA V2, image_1500_9_4.png,21957
CUDA CPU V2, image_1500_9_4.png,20696
CUDA CPU,image_1500_9_5.png,29021
CPU,image_1500_9_5.png,84381
CUDA, image_1500_9_5.png,30461
CUDA V2, image_1500_9_5.png,22146
CUDA CPU V2, image_1500_9_5.png,21416
CUDA CPU,image_1500_9_6.png,27182
CPU,image_1500_9_6.png,84228
CUDA, image_1500_9_6.png,29291
CUDA V2, image_1500_9_6.png,22719
CUDA CPU V2, image_1500_9_6.png,20529
CUDA CPU,image_1500_9_7.png,25791
CPU,image_1500_9_7.png,84526
CUDA, image_1500_9_7.png,27987
CUDA V2, image_1500_9_7.png,21517
CUDA CPU V2, image_1500_9_7.png,21277
CUDA CPU,image_1500_9_8.png,25421
CPU,image_1500_9_8.png,84643
CUDA, image_1500_9_8.png,26732
CUDA V2, image_1500_9_8.png,17657
CUDA CPU V2, image_1500_9_8.png,18843
CUDA CPU,image_1500_9_9.png,24766
CPU,image_1500_9_9.png,84496
CUDA, image_1500_9_9.png,22300
CUDA V2, image_1500_9_9.png,19147
CUDA CPU V2, image_1500_9_9.png,19860
CUDA CPU,image_2000_0_0.png,22615
CPU,image_2000_0_0.png,81783
CUDA, image_2000_0_0.png,28737
CUDA V2, image_2000_0_0.png,17974
CUDA CPU V2, image_2000_0_0.png,16808
CUDA CPU,image_2000_0_1.png,20407
CPU,image_2000_0_1.png,81243
CUDA, image_2000_0_1.png,18796
CUDA V2, image_2000_0_1.png,13918
CUDA CPU V2, image_2000_0_1.png,16266
CUDA CPU,image_2000_0_2.png,20347
CPU,image_2000_0_2.png,78555
CUDA, image_2000_0_2.png,18875
CUDA V2, image_2000_0_2.png,14179
CUDA CPU V2, image_2000_0_2.png,16412
CUDA CPU,image_2000_0_3.png,23145
CPU,image_2000_0_3.png,78043
CUDA, image_2000_0_3.png,24331
CUDA V2, image_2000_0_3.png,19490
CUDA CPU V2, image_2000_0_3.png,17925
CUDA CPU,image_2000_0_4.png,22919
CPU,image_2000_0_4.png,78470
CUDA, image_2000_0_4.png,22631
CUDA V2, image_2000_0_4.png,16542
CUDA CPU V2, image_2000_0_4.png,16637
CUDA CPU,image_2000_0_5.png,19396
CPU,image_2000_0_5.png,82050
CUDA, image_2000_0_5.png,17128
CUDA V2, image_2000_0_5.png,13166
CUDA CPU V2, image_2000_0_5.png,15851
CUDA CPU,image_2000_0_6.png,23548
CPU,image_2000_0_6.png,80488
CUDA, image_2000_0_6.png,24759
CUDA V2, image_2000_0_6.png,14097
CUDA CPU V2, image_2000_0_6.png,16223
CUDA CPU,image_2000_0_7.png,21871
CPU,image_2000_0_7.png,78323
CUDA, image_2000_0_7.png,18986
CUDA V2, image_2000_0_7.png,14112
CUDA CPU V2, image_2000_0_7.png,17500
CUDA CPU,image_2000_0_8.png,19858
CPU,image_2000_0_8.png,78465
CUDA, image_2000_0_8.png,18145
CUDA V2, image_2000_0_8.png,13616
CUDA CPU V2, image_2000_0_8.png,16174
CUDA CPU,image_2000_0_9.png,21398
CPU,image_2000_0_9.png,82730
CUDA, image_2000_0_9.png,26295
CUDA V2, image_2000_0_9.png,14128
CUDA CPU V2, image_2000_0_9.png,16416
CUDA CPU,image_2000_12_0.png,40146
CPU,image_2000_12_0.png,176554
CUDA, image_2000_12_0.png,56171
CUDA V2, image_2000_12_0.png,41125
CUDA CPU V2, image_2000_12_0.png,39099
CUDA CPU,image_2000_12_1.png,48054
CPU,image_2000_12_1.png,175963
CUDA, image_2000_12_1.png,62374
CUDA V2, image_2000_12_1.png,40641
CUDA CPU V2, image_2000_12_1.png,38571
CUDA CPU,image_2000_12_2.png,48140
CPU,image_2000_12_2.png,175408
CUDA, image_2000_12_2.png,60919
CUDA V2, image_2000_12_2.png,39257
CUDA CPU V2, image_2000_12_2.png,40079
CUDA CPU,image_2000_12_3.png,46968
CPU,image_2000_12_3.png,174590
CUDA, image_2000_12_3.png,59943
CUDA V2, image_2000_12_3.png,39733
CUDA CPU V2, image_2000_12_3.png,38629
CUDA CPU,image_2000_12_4.png,51351
CPU,image_2000_12_4.png,172346
CUDA, image_2000_12_4.png,63881
CUDA V2, image_2000_12_4.png,39289
CUDA CPU V2, image_2000_12_4.png,38423
CUDA CPU,image_2000_12_5.png,48366
CPU,image_2000_12_5.png,174282
CUDA, image_2000_12_5.png,63335
CUDA V2, image_2000_12_5.png,39180
CUDA CPU V2, image_2000_12_5.png,38208
CUDA CPU,image_2000_12_6.png,48408
CPU,image_2000_12_6.png,175799
CUDA, image_2000_12_6.png,61542
CUDA V2, image_2000_12_6.png,42546
CUDA CPU V2, image_2000_12_6.png,38775
CUDA CPU,image_2000_12_7.png,49142
CPU,image_2000_12_7.png,176390
CUDA, image_2000_12_7.png,63869
CUDA V2, image_2000_12_7.png,39333
CUDA CPU V2, image_2000_12_7.png,39270
CUDA CPU,image_2000_12_8.png,47257
CPU,image_2000_12_8.png,174289
CUDA, image_2000_12_8.png,62859
CUDA V2, image_2000_12_8.png,39397
CUDA CPU V2, image_2000_12_8.png,38745
CUDA CPU,image_2000_12_9.png,51049
CPU,image_2000_12_9.png,175354
CUDA, image_2000_12_9.png,60394
CUDA V2, image_2000_12_9.png,39920
CUDA CPU V2, image_2000_12_9.png,37987
CUDA CPU,image_2000_15_0.png,51563
CPU,image_2000_15_0.png,198258
CUDA, image_2000_15_0.png,65705
CUDA V2, image_2000_15_0.png,41746
CUDA CPU V2, image_2000_15_0.png,40316
CUDA CPU,image_2000_15_1.png,52576
CPU,image_2000_15_1.png,198128
CUDA, image_2000_15_1.png,65828
CUDA V2, image_2000_15_1.png,42266
CUDA CPU V2, image_2000_15_1.png,40170
CUDA CPU,image_2000_15_2.png,53073
CPU,image_2000_15_2.png,196702
CUDA, image_2000_15_2.png,66333
CUDA V2, image_2000_15_2.png,41830
CUDA CPU V2, image_2000_15_2.png,40360
CUDA CPU,image_2000_15_3.png,51822
CPU,image_2000_15_3.png,197403
CUDA, image_2000_15_3.png,67212
CUDA V2, image_2000_15_3.png,41553
CUDA CPU V2, image_2000_15_3.png,40569
CUDA CPU,image_2000_15_4.png,51957
CPU,image_2000_15_4.png,208941
CUDA, image_2000_15_4.png,63598
CUDA V2, image_2000_15_4.png,41956
CUDA CPU V2, image_2000_15_4.png,40758
CUDA CPU,image_2000_15_5.png,52066
CPU,image_2000_15_5.png,196176
CUDA, image_2000_15_5.png,65448
CUDA V2, image_2000_15_5.png,41829
CUDA CPU V2, image_2000_15_5.png,40685
CUDA CPU,image_2000_15_6.png,53270
CPU,image_2000_15_6.png,197785
CUDA, image_2000_15_6.png,65752
CUDA V2, image_2000_15_6.png,41312
CUDA CPU V2, image_2000_15_6.png,40702
CUDA CPU,image_2000_15_7.png,50286
CPU,image_2000_15_7.png,197238
CUDA, image_2000_15_7.png,65906
CUDA V2, image_2000_15_7.png,41441
CUDA CPU V2, image_2000_15_7.png,40559
CUDA CPU,image_2000_15_8.png,51515
CPU,image_2000_15_8.png,198881
CUDA, image_2000_15_8.png,65589
CUDA V2, image_2000_15_8.png,41866
CUDA CPU V2, image_2000_15_8.png,40765
CUDA CPU,image_2000_15_9.png,51847
CPU,image_2000_15_9.png,197931
CUDA, image_2000_15_9.png,66233
CUDA V2, image_2000_15_9.png,41367
CUDA CPU V2, image_2000_15_9.png,40534
CUDA CPU,image_2000_18_0.png,54720
CPU,image_2000_18_0.png,221941
CUDA, image_2000_18_0.png,66452
CUDA V2, image_2000_18_0.png,44178
CUDA CPU V2, image_2000_18_0.png,42688
CUDA CPU,image_2000_18_1.png,55631
CPU,image_2000_18_1.png,220188
CUDA, image_2000_18_1.png,70266
CUDA V2, image_2000_18_1.png,43866
CUDA CPU V2, image_2000_18_1.png,44613
CUDA CPU,image_2000_18_2.png,53761
CPU,image_2000_18_2.png,221765
CUDA, image_2000_18_2.png,68381
CUDA V2, image_2000_18_2.png,45352
CUDA CPU V2, image_2000_18_2.png,42560
CUDA CPU,image_2000_18_3.png,52703
CPU,image_2000_18_3.png,220653
CUDA, image_2000_18_3.png,70817
CUDA V2, image_2000_18_3.png,45006
CUDA CPU V2, image_2000_18_3.png,42253
CUDA CPU,image_2000_18_4.png,52118
CPU,image_2000_18_4.png,221089
CUDA, image_2000_18_4.png,68775
CUDA V2, image_2000_18_4.png,43923
CUDA CPU V2, image_2000_18_4.png,42579
CUDA CPU,image_2000_18_5.png,52923
CPU,image_2000_18_5.png,219497
CUDA, image_2000_18_5.png,67961
CUDA V2, image_2000_18_5.png,43778
CUDA CPU V2, image_2000_18_5.png,42667
CUDA CPU,image_2000_18_6.png,53496
CPU,image_2000_18_6.png,222269
CUDA, image_2000_18_6.png,68344
CUDA V2, image_2000_18_6.png,44126
CUDA CPU V2, image_2000_18_6.png,42669
CUDA CPU,image_2000_18_7.png,53861
CPU,image_2000_18_7.png,219946
CUDA, image_2000_18_7.png,66786
CUDA V2, image_2000_18_7.png,43890
CUDA CPU V2, image_2000_18_7.png,42304
CUDA CPU,image_2000_18_8.png,55022
CPU,image_2000_18_8.png,220004
CUDA, image_2000_18_8.png,68514
CUDA V2, image_2000_18_8.png,44177
CUDA CPU V2, image_2000_18_8.png,43718
CUDA CPU,image_2000_18_9.png,54245
CPU,image_2000_18_9.png,222362
CUDA, image_2000_18_9.png,65430
CUDA V2, image_2000_18_9.png,44865
CUDA CPU V2, image_2000_18_9.png,42505
CUDA CPU,image_2000_3_0.png,38086
CPU,image_2000_3_0.png,103496
CUDA, image_2000_3_0.png,46701
CUDA V2, image_2000_3_0.png,29996
CUDA CPU V2, image_2000_3_0.png,28772
CUDA CPU,image_2000_3_1.png,35613
CPU,image_2000_3_1.png,106769
CUDA, image_2000_3_1.png,44151
CUDA V2, image_2000_3_1.png,30033
CUDA CPU V2, image_2000_3_1.png,29019
CUDA CPU,image_2000_3_2.png,36060
CPU,image_2000_3_2.png,106458
CUDA, image_2000_3_2.png,37549
CUDA V2, image_2000_3_2.png,28922
CUDA CPU V2, image_2000_3_2.png,30699
CUDA CPU,image_2000_3_3.png,37635
CPU,image_2000_3_3.png,105466
CUDA, image_2000_3_3.png,41239
CUDA V2, image_2000_3_3.png,30697
CUDA CPU V2, image_2000_3_3.png,29088
CUDA CPU,image_2000_3_4.png,36382
CPU,image_2000_3_4.png,103561
CUDA, image_2000_3_4.png,45766
CUDA V2, image_2000_3_4.png,29622
CUDA CPU V2, image_2000_3_4.png,30763
CUDA CPU,image_2000_3_5.png,35742
CPU,image_2000_3_5.png,106594
CUDA, image_2000_3_5.png,43944
CUDA V2, image_2000_3_5.png,30223
CUDA CPU V2, image_2000_3_5.png,29418
CUDA CPU,image_2000_3_6.png,36411
CPU,image_2000_3_6.png,105306
CUDA, image_2000_3_6.png,46677
CUDA V2, image_2000_3_6.png,30015
CUDA CPU V2, image_2000_3_6.png,29117
CUDA CPU,image_2000_3_7.png,37262
CPU,image_2000_3_7.png,104311
CUDA, image_2000_3_7.png,44622
CUDA V2, image_2000_3_7.png,29417
CUDA CPU V2, image_2000_3_7.png,30041
CUDA CPU,image_2000_3_8.png,35669
CPU,image_2000_3_8.png,103873
CUDA, image_2000_3_8.png,45302
CUDA V2, image_2000_3_8.png,30233
CUDA CPU V2, image_2000_3_8.png,28710
CUDA CPU,image_2000_3_9.png,36704
CPU,image_2000_3_9.png,107911
CUDA, image_2000_3_9.png,46462
CUDA V2, image_2000_3_9.png,30328
CUDA CPU V2, image_2000_3_9.png,28441
CUDA CPU,image_2000_6_0.png,42394
CPU,image_2000_6_0.png,128707
CUDA, image_2000_6_0.png,50441
CUDA V2, image_2000_6_0.png,33103
CUDA CPU V2, image_2000_6_0.png,32243
CUDA CPU,image_2000_6_1.png,48161
CPU,image_2000_6_1.png,167021
CUDA, image_2000_6_1.png,57541
CUDA V2, image_2000_6_1.png,35223
CUDA CPU V2, image_2000_6_1.png,34180
CUDA CPU,image_2000_6_2.png,41481
CPU,image_2000_6_2.png,131138
CUDA, image_2000_6_2.png,53026
CUDA V2, image_2000_6_2.png,34663
CUDA CPU V2, image_2000_6_2.png,32727
CUDA CPU,image_2000_6_3.png,40601
CPU,image_2000_6_3.png,127543
CUDA, image_2000_6_3.png,50295
CUDA V2, image_2000_6_3.png,34046
CUDA CPU V2, image_2000_6_3.png,34848
CUDA CPU,image_2000_6_4.png,40960
CPU,image_2000_6_4.png,127459
CUDA, image_2000_6_4.png,52444
CUDA V2, image_2000_6_4.png,33866
CUDA CPU V2, image_2000_6_4.png,33536
CUDA CPU,image_2000_6_5.png,40879
CPU,image_2000_6_5.png,130356
CUDA, image_2000_6_5.png,50674
CUDA V2, image_2000_6_5.png,33624
CUDA CPU V2, image_2000_6_5.png,32300
CUDA CPU,image_2000_6_6.png,42445
CPU,image_2000_6_6.png,127032
CUDA, image_2000_6_6.png,53385
CUDA V2, image_2000_6_6.png,34284
CUDA CPU V2, image_2000_6_6.png,32632
CUDA CPU,image_2000_6_7.png,41930
CPU,image_2000_6_7.png,131089
CUDA, image_2000_6_7.png,50328
CUDA V2, image_2000_6_7.png,49657
CUDA CPU V2, image_2000_6_7.png,49572
CUDA CPU,image_2000_6_8.png,55720
CPU,image_2000_6_8.png,160412
CUDA, image_2000_6_8.png,55110
CUDA V2, image_2000_6_8.png,33829
CUDA CPU V2, image_2000_6_8.png,32622
CUDA CPU,image_2000_6_9.png,41047
CPU,image_2000_6_9.png,128273
CUDA, image_2000_6_9.png,50711
CUDA V2, image_2000_6_9.png,33776
CUDA CPU V2, image_2000_6_9.png,34916
CUDA CPU,image_2000_9_0.png,44063
CPU,image_2000_9_0.png,153914
CUDA, image_2000_9_0.png,57717
CUDA V2, image_2000_9_0.png,36909
CUDA CPU V2, image_2000_9_0.png,35509
CUDA CPU,image_2000_9_1.png,45145
CPU,image_2000_9_1.png,152134
CUDA, image_2000_9_1.png,45557
CUDA V2, image_2000_9_1.png,37389
