Algoritmo,Imagen,Tiempo
CUDA V2, image_1000_18_0.png,14249
CUDA CPU V2, image_1000_18_0.png,12608
CUDA CPU,image_1000_18_1.png,21064
CPU,image_1000_18_1.png,54242
CUDA, image_1000_18_1.png,23967
CUDA V2, image_1000_18_1.png,15424
CUDA CPU V2, image_1000_18_1.png,12434
CUDA CPU,image_1000_18_2.png,18305
CPU,image_1000_18_2.png,54435
CUDA, image_1000_18_2.png,20877
CUDA V2, image_1000_18_2.png,14476
CUDA CPU V2, image_1000_18_2.png,14058
CUDA CPU,image_1000_18_3.png,17438
CPU,image_1000_18_3.png,55343
CUDA, image_1000_18_3.png,19884
CUDA V2, image_1000_18_3.png,14410
CUDA CPU V2, image_1000_18_3.png,12368
CUDA CPU,image_1000_18_4.png,17491
CPU,image_1000_18_4.png,56848
CUDA, image_1000_18_4.png,20079
CUDA V2, image_1000_18_4.png,13678
CUDA CPU V2, image_1000_18_4.png,12607
CUDA CPU,image_1000_18_5.png,19546
CPU,image_1000_18_5.png,54227
CUDA, image_1000_18_5.png,20593
CUDA V2, image_1000_18_5.png,14763
CUDA CPU V2, image_1000_18_5.png,14314
CUDA CPU,image_1000_18_6.png,18608
CPU,image_1000_18_6.png,54272
CUDA, image_1000_18_6.png,20477
CUDA V2, image_1000_18_6.png,15644
CUDA CPU V2, image_1000_18_6.png,14081
CUDA CPU,image_1000_18_7.png,20434
CPU,image_1000_18_7.png,57376
CUDA, image_1000_18_7.png,25118
CUDA V2, image_1000_18_7.png,14104
CUDA CPU V2, image_1000_18_7.png,12567
CUDA CPU,image_1000_18_8.png,20592
CPU,image_1000_18_8.png,54729
CUDA, image_1000_18_8.png,20839
CUDA V2, image_1000_18_8.png,14178
CUDA CPU V2, image_1000_18_8.png,13005
CUDA CPU,image_1000_18_9.png,19719
CPU,image_1000_18_9.png,54300
CUDA, image_1000_18_9.png,24237
CUDA V2, image_1000_18_9.png,15798
CUDA CPU V2, image_1000_18_9.png,12848
CUDA CPU,image_1000_3_0.png,14693
CPU,image_1000_3_0.png,25994
CUDA, image_1000_3_0.png,16611
CUDA V2, image_1000_3_0.png,10486
CUDA CPU V2, image_1000_3_0.png,8636
CUDA CPU,image_1000_3_1.png,15341
CPU,image_1000_3_1.png,26216
CUDA, image_1000_3_1.png,15273
CUDA V2, image_1000_3_1.png,10324
CUDA CPU V2, image_1000_3_1.png,8967
CUDA CPU,image_1000_3_2.png,13409
CPU,image_1000_3_2.png,25990
CUDA, image_1000_3_2.png,14719
CUDA V2, image_1000_3_2.png,10131
CUDA CPU V2, image_1000_3_2.png,9300
CUDA CPU,image_1000_3_3.png,12544
CPU,image_1000_3_3.png,26049
CUDA, image_1000_3_3.png,14765
CUDA V2, image_1000_3_3.png,11216
CUDA CPU V2, image_1000_3_3.png,8764
CUDA CPU,image_1000_3_4.png,12961
CPU,image_1000_3_4.png,26209
CUDA, image_1000_3_4.png,14142
CUDA V2, image_1000_3_4.png,10274
CUDA CPU V2, image_1000_3_4.png,8484
CUDA CPU,image_1000_3_5.png,13120
CPU,image_1000_3_5.png,25938
CUDA, image_1000_3_5.png,16010
CUDA V2, image_1000_3_5.png,10454
CUDA CPU V2, image_1000_3_5.png,8687
CUDA CPU,image_1000_3_6.png,13120
CPU,image_1000_3_6.png,29107
CUDA, image_1000_3_6.png,15364
CUDA V2, image_1000_3_6.png,9890
CUDA CPU V2, image_1000_3_6.png,8679
CUDA CPU,image_1000_3_7.png,13027
CPU,image_1000_3_7.png,26565
CUDA, image_1000_3_7.png,14618
